MX.5P_brkpt,MX.5P_up,Fournier Coeff,MEAN P,S DEV P,SKEW P,P(W/W),P(W/D),Elev,Lat,Coastal Prox,Month
3.4,1.98,10.58,2.06,2.01,1.39,0.27,0.07,356.13,47.21,227.22,5
2.11,1.44,10.58,2.09,2.5,1.86,0.17,0.09,356.13,47.21,227.22,6
3.88,1.74,10.58,2.69,2.17,2.15,0.31,0.04,356.13,47.21,227.22,7
2,0.61,10.58,1.79,2.35,2.25,0.19,0.04,356.13,47.21,227.22,8
2.32,1.53,10.58,1.45,1.96,3,0.32,0.07,356.13,47.21,227.22,9
2.78,1.79,10.58,2.34,2.66,1.88,0.42,0.12,356.13,47.21,227.22,10
1.89,1.42,10.58,2.03,2.48,1.61,0.28,0.16,356.13,47.21,227.22,11
2.33,1.58,10.58,2.3,2.7,2.28,0.36,0.17,356.13,47.21,227.22,12
7.67,5.49,42.82,6.91,9.28,2.32,0.64,0.13,56.97,36.59,2.76,1
8.19,5.17,42.82,6.16,8.2,2.75,0.64,0.22,56.97,36.59,2.76,2
8.06,4.88,42.82,5.11,6.18,1.88,0.53,0.11,56.97,36.59,2.76,3
8.03,4.5,42.82,5.5,9.08,4.89,0.39,0.11,56.97,36.59,2.76,4
1.52,0.67,42.82,0.95,1.31,2.66,0.26,0.05,56.97,36.59,2.76,5
0.52,0.19,42.82,0.54,0.48,2.03,0.11,0.03,56.97,36.59,2.76,6
0.47,0.15,42.82,0.53,0.42,1.35,0.22,0.03,56.97,36.59,2.76,7
1.75,0.68,42.82,1.34,2.56,3.29,0.47,0.06,56.97,36.59,2.76,8
1.64,0.77,42.82,1.24,2.05,2.39,0.29,0.05,56.97,36.59,2.76,9
5.68,3.82,42.82,6.23,12.91,3.45,0.3,0.12,56.97,36.59,2.76,10
5.95,3.64,42.82,3.73,6.27,4.61,0.48,0.14,56.97,36.59,2.76,11
8.27,5.36,42.82,5.51,9.53,3.78,0.51,0.19,56.97,36.59,2.76,12
7.41,5.29,21.57,5.3,18.66,7.14,0.49,0.13,1535.86,38.42,690.31,1
2.51,1.82,21.57,2.17,2.2,1.46,0.38,0.16,1535.86,38.42,690.31,2
4.78,3.26,21.57,3.58,5.02,3.2,0.29,0.15,1535.86,38.42,690.31,3
4.66,2.9,21.57,2.9,3.05,2.35,0.35,0.15,1535.86,38.42,690.31,4
6.19,3.6,21.57,4.48,4.75,1.46,0.46,0.11,1535.86,38.42,690.31,5
5.42,2.08,21.57,2.94,4.46,2.61,0.24,0.05,1535.86,38.42,690.31,6
13.04,7.55,21.57,2.62,3.89,2.64,0.51,0.17,1535.86,38.42,690.31,7
11.67,5.69,21.57,2.28,2.25,1.37,0.52,0.17,1535.86,38.42,690.31,8
7.64,4.38,21.57,4.25,6.48,2.59,0.44,0.12,1535.86,38.42,690.31,9
5.63,3.26,21.57,3.56,4.85,2.29,0.38,0.12,1535.86,38.42,690.31,10
3.51,2.29,21.57,3.65,4.3,1.75,0.36,0.11,1535.86,38.42,690.31,11
3.3,2.01,21.57,2.87,5.04,3.58,0.47,0.2,1535.86,38.42,690.31,12
3.93,2.27,93.96,3.06,3.99,2.2,0.41,0.15,197.74,41.63,1252.37,1
7.17,4.14,93.96,3.74,5.08,1.98,0.34,0.21,197.74,41.63,1252.37,2
12.5,6.71,93.96,5.39,7.83,3.4,0.43,0.23,197.74,41.63,1252.37,3
18.83,10.83,93.96,9.21,11.97,2.45,0.53,0.28,197.74,41.63,1252.37,4
30.3,16.18,93.96,8.46,11.33,1.99,0.52,0.32,197.74,41.63,1252.37,5
40.56,25.5,93.96,10.67,17.37,4.55,0.56,0.31,197.74,41.63,1252.37,6
29.76,17.49,93.96,10.15,12.88,2.19,0.6,0.23,197.74,41.63,1252.37,7
40.99,22.26,93.96,9.67,12.18,1.89,0.56,0.26,197.74,41.63,1252.37,8
28.55,15.59,93.96,7.89,10.82,1.83,0.46,0.26,197.74,41.63,1252.37,9
23.9,14.48,93.96,8.59,11.36,2.2,0.41,0.25,197.74,41.63,1252.37,10
11,6.94,93.96,4.69,6.2,2.31,0.49,0.16,197.74,41.63,1252.37,11
5.5,3.68,93.96,5.01,6.61,1.75,0.4,0.23,197.74,41.63,1252.37,12
0.98,0.7,65.9,1.63,2.39,3.34,0.17,0.07,778.32,40.21,1272.48,1
1.21,0.81,65.9,1.52,1.65,1.41,0.23,0.08,778.32,40.21,1272.48,2
4.81,2.93,65.9,3.31,6.03,2.76,0.34,0.12,778.32,40.21,1272.48,3
17.05,11.08,65.9,8.07,13.95,4.21,0.44,0.23,778.32,40.21,1272.48,4
26.72,14.42,65.9,7.74,15.58,5.09,0.45,0.28,778.32,40.21,1272.48,5
29.75,16.02,65.9,7.6,11.65,3.22,0.53,0.21,778.32,40.21,1272.48,6
32.18,18.77,65.9,7.76,10.53,3.14,0.5,0.29,778.32,40.21,1272.48,7
39.29,19.03,65.9,9.03,11.42,1.73,0.52,0.25,778.32,40.21,1272.48,8
15.15,9.47,65.9,5.45,12.15,5.84,0.53,0.17,778.32,40.21,1272.48,9
8.67,5.2,65.9,5.62,8.04,2.37,0.48,0.15,778.32,40.21,1272.48,10
2.98,1.68,65.9,3.61,6.62,4.18,0.32,0.08,778.32,40.21,1272.48,11
3.42,2.4,65.9,2.32,3.25,3.14,0.32,0.1,778.32,40.21,1272.48,12
6.51,4.21,80.48,3.62,5.34,2.6,0.65,0.4,142.22,43.35,344.3,1
8.09,4.54,80.48,3.95,5.7,3.05,0.61,0.46,142.22,43.35,344.3,2
7.19,4.67,80.48,4.44,5.55,1.97,0.48,0.36,142.22,43.35,344.3,3
10.6,6.63,80.48,5.87,6.49,1.97,0.57,0.32,142.22,43.35,344.3,4
20.01,11.26,80.48,5.98,7.8,2.75,0.6,0.28,142.22,43.35,344.3,5
17.56,10.99,80.48,6.58,6.97,1.36,0.55,0.34,142.22,43.35,344.3,6
27.36,14.27,80.48,5.77,7.83,2.27,0.57,0.42,142.22,43.35,344.3,7
27.34,13.87,80.48,6.32,8.51,1.73,0.59,0.36,142.22,43.35,344.3,8
15.99,9.23,80.48,6.22,10.01,3.54,0.6,0.35,142.22,43.35,344.3,9
13.66,8.33,80.48,6.28,9.08,3.25,0.69,0.43,142.22,43.35,344.3,10
8.8,4.64,80.48,4.54,4.71,1.49,0.63,0.34,142.22,43.35,344.3,11
6.19,5.03,80.48,4.42,5.68,3.49,0.66,0.39,142.22,43.35,344.3,12
15.45,7.33,57.64,13.93,25.38,2.81,0.43,0.05,6.18,27.7,7.83,1
7.44,4.14,57.64,9.94,16.03,1.81,0.42,0.08,6.18,27.7,7.83,2
13.46,7.38,57.64,8.46,16.27,3.28,0.3,0.11,6.18,27.7,7.83,3
22.98,4.11,57.64,5.39,6.85,1.23,0.46,0.03,6.18,27.7,7.83,4
18.06,9.93,57.64,6.28,15.91,4.2,0.36,0.08,6.18,27.7,7.83,5
21.77,10.33,57.64,16.83,21.81,1.61,0.62,0.08,6.18,27.7,7.83,6
17.26,6.18,57.64,9.51,12,1.4,0.43,0.03,6.18,27.7,7.83,7
19.09,9.66,57.64,11.03,14.43,1.4,0.56,0.04,6.18,27.7,7.83,8
25.07,13.02,57.64,15.52,27.74,4.05,0.66,0.09,6.18,27.7,7.83,9
12,2.52,57.64,6.35,11.98,2.15,0.11,0.03,6.18,27.7,7.83,10
33.13,6.62,57.64,7.33,14.58,2.46,0.25,0.05,6.18,27.7,7.83,11
5.82,2.4,57.64,5.08,8.36,2.36,0.29,0.11,6.18,27.7,7.83,12
12.87,7.08,59.53,7.35,11.15,2.64,0.34,0.14,7.35,28.1,7.11,1
7.95,4.87,59.53,6.19,10.86,3.46,0.32,0.1,7.35,28.1,7.11,2
10.77,5.14,59.53,4.97,7.88,3.29,0.32,0.13,7.35,28.1,7.11,3
22.5,11.12,59.53,6.33,7.99,1.59,0.28,0.12,7.35,28.1,7.11,4
16.16,8.75,59.53,5.66,6.57,1.32,0.43,0.11,7.35,28.1,7.11,5
29.13,14.27,59.53,9.02,12.37,2.02,0.51,0.14,7.35,28.1,7.11,6
28.72,15.86,59.53,8.64,12.29,1.8,0.54,0.14,7.35,28.1,7.11,7
41.39,19.58,59.53,10.86,17.5,2.87,0.49,0.15,7.35,28.1,7.11,8
37.49,18.73,59.53,10.19,18.47,3.24,0.48,0.25,7.35,28.1,7.11,9
19.44,9.72,59.53,8.68,16.56,3.59,0.49,0.15,7.35,28.1,7.11,10
21.51,10.25,59.53,5.89,8.19,1.79,0.33,0.13,7.35,28.1,7.11,11
15.03,7.6,59.53,5.4,9.56,2.38,0.29,0.15,7.35,28.1,7.11,12
0.74,0.59,54.58,0.88,1.21,2.95,0.22,0.09,396.42,43.77,1524.92,1
2.1,1.43,54.58,2.41,4.19,3.32,0.13,0.1,396.42,43.77,1524.92,2
6.84,4.2,54.58,3.86,5.83,2.59,0.31,0.12,396.42,43.77,1524.92,3
9.83,6.63,54.58,5.42,8.52,4.49,0.35,0.19,396.42,43.77,1524.92,4
18.05,9.92,54.58,6.13,8.98,3.1,0.47,0.27,396.42,43.77,1524.92,5
31.3,16.5,54.58,8.53,13.89,3.6,0.49,0.23,396.42,43.77,1524.92,6
25.34,10.54,54.58,6.42,7.6,1.92,0.4,0.18,396.42,43.77,1524.92,7
36.83,15.51,54.58,7.67,10.47,1.75,0.49,0.22,396.42,43.77,1524.92,8
16.46,8.57,54.58,5.55,6.68,2.03,0.5,0.16,396.42,43.77,1524.92,9
13.92,6.94,54.58,7.63,8.49,1.71,0.49,0.13,396.42,43.77,1524.92,10
3.78,2.01,54.58,3.35,4.75,2.06,0.27,0.06,396.42,43.77,1524.92,11
1.95,1.38,54.58,1.83,2.83,2.75,0.17,0.1,396.42,43.77,1524.92,12
5.16,3.75,48.2,1.96,5.98,7.58,0.41,0.17,516.4,45.55,1388.96,1
9.97,5.44,48.2,2.69,9.98,8.42,0.36,0.24,516.4,45.55,1388.96,2
13.41,7.25,48.2,5.66,16.45,6.13,0.45,0.18,516.4,45.55,1388.96,3
10.31,6.17,48.2,5.57,6.61,1.96,0.43,0.23,516.4,45.55,1388.96,4
22.52,11.61,48.2,9.05,12.25,2.94,0.4,0.25,516.4,45.55,1388.96,5
26.06,15.31,48.2,6.73,9.49,2.68,0.35,0.29,516.4,45.55,1388.96,6
23.04,12.25,48.2,5.13,7.76,3.33,0.38,0.24,516.4,45.55,1388.96,7
30.39,16.49,48.2,7.19,12.49,3.35,0.43,0.26,516.4,45.55,1388.96,8
13.51,7.44,48.2,4.13,6.33,2.29,0.35,0.18,516.4,45.55,1388.96,9
7.65,4.49,48.2,4.57,7.82,2.41,0.41,0.18,516.4,45.55,1388.96,10
2.55,1.52,48.2,2.18,3.29,2.87,0.43,0.12,516.4,45.55,1388.96,11
2.41,1.91,48.2,1.9,2.83,4.27,0.45,0.14,516.4,45.55,1388.96,12
6.63,3.61,56.47,3.6,5.46,2.95,0.62,0.2,278.89,41.78,442.37,1
4.49,3.1,56.47,3.42,5.84,5.23,0.52,0.22,278.89,41.78,442.37,2
6.43,3.85,56.47,4.87,6.31,2.3,0.49,0.15,278.89,41.78,442.37,3
10.86,5.5,56.47,5.21,6.36,2.19,0.61,0.2,278.89,41.78,442.37,4
19.81,9.88,56.47,5.43,7.76,2.85,0.58,0.22,278.89,41.78,442.37,5
24.79,12.02,56.47,6.64,8.86,2.26,0.59,0.24,278.89,41.78,442.37,6
34.74,17.35,56.47,6.39,11.6,4.33,0.63,0.22,278.89,41.78,442.37,7
16.24,9.85,56.47,4.46,7.82,2.66,0.53,0.22,278.89,41.78,442.37,8
18.2,9.06,56.47,7.08,10.13,2.81,0.62,0.19,278.89,41.78,442.37,9
13.59,7.55,56.47,5.09,6.38,1.91,0.6,0.27,278.89,41.78,442.37,10
5.36,3.24,56.47,5.15,6.15,2.2,0.54,0.25,278.89,41.78,442.37,11
4.49,3.57,56.47,3.22,4.33,2.58,0.52,0.31,278.89,41.78,442.37,12
10.86,6.19,102.3,7.75,10.62,1.86,0.41,0.22,2.69,34.68,0.18,1
10.53,6.81,102.3,5.54,7.87,1.95,0.47,0.33,2.69,34.68,0.18,2
14.85,9.29,102.3,4.45,7.01,1.9,0.49,0.22,2.69,34.68,0.18,3
14.24,8.08,102.3,4.16,5.65,2.04,0.39,0.27,2.69,34.68,0.18,4
16.51,10.71,102.3,4.52,7.43,3.1,0.48,0.29,2.69,34.68,0.18,5
23.8,10.55,102.3,4.72,6.05,1.86,0.37,0.22,2.69,34.68,0.18,6
32.07,13.83,102.3,9.09,10.92,1.72,0.46,0.22,2.69,34.68,0.18,7
46.12,22.33,102.3,10.19,13.97,2.27,0.6,0.35,2.69,34.68,0.18,8
35.27,19.2,102.3,13.43,28.65,3.62,0.53,0.31,2.69,34.68,0.18,9
14.29,9.01,102.3,7.43,15.42,3.06,0.5,0.25,2.69,34.68,0.18,10
27.2,18.81,102.3,12.81,33.72,4.08,0.53,0.19,2.69,34.68,0.18,11
25.13,14.27,102.3,13.36,15.3,2.07,0.44,0.19,2.69,34.68,0.18,12
22.98,16.06,102.48,5.65,8.11,2.05,0.48,0.39,313.27,45.46,116.75,1
9.41,6.15,102.48,5.14,7.68,2.33,0.57,0.39,313.27,45.46,116.75,2
6.67,4.73,102.48,6.33,8.86,2.71,0.51,0.36,313.27,45.46,116.75,3
8.61,5.43,102.48,6.93,8.67,2.47,0.61,0.3,313.27,45.46,116.75,4
15.69,9.43,102.48,7.05,8.16,2.03,0.61,0.33,313.27,45.46,116.75,5
21.76,12.26,102.48,8.32,10.98,2.62,0.59,0.37,313.27,45.46,116.75,6
25.78,16.19,102.48,6.38,8.46,2.36,0.54,0.4,313.27,45.46,116.75,7
27.1,14.74,102.48,8.26,11.04,2.61,0.55,0.4,313.27,45.46,116.75,8
17.59,9.8,102.48,7.85,13.23,4.31,0.56,0.27,313.27,45.46,116.75,9
14.95,10.74,102.48,8.79,12.18,2.17,0.57,0.32,313.27,45.46,116.75,10
10.17,6.69,102.48,7.76,10.1,2.3,0.42,0.33,313.27,45.46,116.75,11
8.96,6,102.48,7.83,10.44,2.9,0.64,0.48,313.27,45.46,116.75,12
32.54,12.04,41.84,2.76,3.63,1.51,0.29,0.2,3.59,30.21,0.86,1
19.94,10.72,41.84,9.17,14.41,1.39,0.09,0.18,3.59,30.21,0.86,2
18.08,9.99,41.84,7.52,14.44,1.71,0.3,0.14,3.59,30.21,0.86,3
14.29,7.56,41.84,6.24,11.29,1.37,0.33,0.12,3.59,30.21,0.86,4
27.92,13.41,41.84,8.64,4.75,0.38,0,0.07,3.59,30.21,0.86,5
19.33,10.33,41.84,4.22,10.8,2.49,0.22,0.14,3.59,30.21,0.86,6
24.56,12.95,41.84,8.59,17.2,1.58,0,0.11,3.59,30.21,0.86,7
22.51,15.76,41.84,6.79,7.63,1.3,0.31,0.17,3.59,30.21,0.86,8
15.9,9.37,41.84,8.33,14.81,2.28,0.4,0.12,3.59,30.21,0.86,9
6.92,3.72,41.84,0.89,1.05,1.74,0.4,0.12,3.59,30.21,0.86,10
19.83,10.67,41.84,5.59,8.17,1.28,0,0.09,3.59,30.21,0.86,11
34.98,22.61,41.84,20.32,33.02,0.91,0.14,0.11,3.59,30.21,0.86,12
2.7,1.62,59.19,2.36,3.91,3.19,0.15,0.07,319.27,39.13,1054.34,1
4.51,2.57,59.19,3.59,5.42,1.83,0.28,0.08,319.27,39.13,1054.34,2
8.24,4.94,59.19,3.9,8.45,4.47,0.41,0.15,319.27,39.13,1054.34,3
18.75,8.49,59.19,5.94,7.14,1.8,0.51,0.21,319.27,39.13,1054.34,4
24.91,12.95,59.19,8.55,15.41,3.97,0.53,0.21,319.27,39.13,1054.34,5
36.38,19.3,59.19,11.33,15,1.94,0.36,0.19,319.27,39.13,1054.34,6
28.08,14.48,59.19,7.51,10.26,2.01,0.32,0.19,319.27,39.13,1054.34,7
43.56,21.67,59.19,11.83,14.44,2.03,0.3,0.2,319.27,39.13,1054.34,8
30.97,15.59,59.19,9.5,11.73,1.3,0.34,0.15,319.27,39.13,1054.34,9
19.18,9.76,59.19,6.92,7.84,1.23,0.46,0.14,319.27,39.13,1054.34,10
5.57,3.98,59.19,6.74,9.33,1.93,0.32,0.09,319.27,39.13,1054.34,11
4.88,3.03,59.19,4.45,8.75,4.2,0.21,0.11,319.27,39.13,1054.34,12
6.45,4.3,59.6,5.16,7.35,3.36,0.35,0.18,121.6,40.12,65.34,1
6.99,4.24,59.6,4.72,7.65,3.29,0.23,0.21,121.6,40.12,65.34,2
8.18,5.19,59.6,5.89,7.79,2.21,0.33,0.22,121.6,40.12,65.34,3
13.54,8.17,59.6,5.36,7.63,2.63,0.46,0.24,121.6,40.12,65.34,4
19.89,11.45,59.6,5.77,7.72,2.59,0.43,0.23,121.6,40.12,65.34,5
24.83,14.53,59.6,7.59,9.43,1.44,0.44,0.26,121.6,40.12,65.34,6
32.25,17.53,59.6,8.86,10.15,1.67,0.4,0.22,121.6,40.12,65.34,7
23.65,13.57,59.6,6.84,10.4,2.53,0.4,0.22,121.6,40.12,65.34,8
24.87,15.93,59.6,9.48,17.24,3.79,0.34,0.21,121.6,40.12,65.34,9
16.85,8.74,59.6,8.26,13.66,3.26,0.39,0.19,121.6,40.12,65.34,10
11.07,6.74,59.6,5.59,6.69,1.57,0.27,0.17,121.6,40.12,65.34,11
8.2,5.2,59.6,5.4,6.38,1.69,0.38,0.2,121.6,40.12,65.34,12
7,4.49,95.82,5.15,9.15,2.85,0.39,0.2,292.46,40.1,1119.41,1
8.99,5.73,95.82,5.45,8.34,2.55,0.37,0.22,292.46,40.1,1119.41,2
22.23,12.75,95.82,8.5,12.25,2.39,0.45,0.25,292.46,40.1,1119.41,3
19.33,10.89,95.82,9.61,11.37,1.98,0.49,0.29,292.46,40.1,1119.41,4
30.94,15,95.82,8.65,12.36,3.27,0.5,0.33,292.46,40.1,1119.41,5
41.53,22.74,95.82,14.45,18.25,2.62,0.48,0.27,292.46,40.1,1119.41,6
28.65,16.48,95.82,10.88,21.9,4.75,0.48,0.25,292.46,40.1,1119.41,7
31.58,18.56,95.82,9.6,14.33,4.39,0.4,0.27,292.46,40.1,1119.41,8
26.64,17.68,95.82,12.21,26.81,4.52,0.54,0.18,292.46,40.1,1119.41,9
22.89,12.93,95.82,9.37,13.16,2.34,0.45,0.26,292.46,40.1,1119.41,10
33.44,18.02,95.82,5.92,10.21,2.56,0.54,0.21,292.46,40.1,1119.41,11
9.67,6.1,95.82,4.82,7.4,2.46,0.42,0.25,292.46,40.1,1119.41,12
8.66,5.32,85.23,4.49,6.96,2.71,0.4,0.15,166.44,38.59,949.39,1
10.14,5.8,85.23,7.26,10.2,2.1,0.44,0.15,166.44,38.59,949.39,2
21.18,10.79,85.23,7.29,8.53,1.77,0.48,0.3,166.44,38.59,949.39,3
21.29,12.86,85.23,10.91,14.96,2.19,0.55,0.29,166.44,38.59,949.39,4
27.17,15.5,85.23,8.53,10.52,1.64,0.61,0.23,166.44,38.59,949.39,5
29.14,15.78,85.23,8.02,9.96,1.58,0.5,0.27,166.44,38.59,949.39,6
33,19.88,85.23,9.83,15.19,2.4,0.5,0.25,166.44,38.59,949.39,7
32.55,18.4,85.23,7.46,12.15,2.87,0.51,0.27,166.44,38.59,949.39,8
27.68,15.82,85.23,8.12,17.37,4.18,0.58,0.27,166.44,38.59,949.39,9
19.9,10.82,85.23,8.78,12.83,3.16,0.48,0.26,166.44,38.59,949.39,10
11.7,7.93,85.23,7.54,12.62,3.57,0.44,0.17,166.44,38.59,949.39,11
12.36,8.02,85.23,6.08,8.09,2.29,0.46,0.22,166.44,38.59,949.39,12
5.13,2.95,34.05,7.39,9.55,1.99,0.43,0.09,281.84,34.06,56.07,1
8.79,4.88,34.05,6.17,7.02,1.9,0.51,0.13,281.84,34.06,56.07,2
4.37,3.17,34.05,5.65,6.55,1.61,0.41,0.05,281.84,34.06,56.07,3
6.45,1.55,34.05,4.41,4.76,1.07,0.29,0.03,281.84,34.06,56.07,4
4.76,2.07,34.05,6.59,8.56,1.95,0.21,0.03,281.84,34.06,56.07,5
26.85,3.29,34.05,3.56,2.21,-0.11,0.4,0.01,281.84,34.06,56.07,7
0.93,0.1,34.05,1.78,1.8,0,0,0.01,281.84,34.06,56.07,8
5.71,0.86,34.05,8.83,15.31,0.99,0,0.01,281.84,34.06,56.07,9
7.67,1.24,34.05,3.43,3.8,1.27,0.3,0.02,281.84,34.06,56.07,10
5.34,2.43,34.05,3.47,4.16,2.27,0.41,0.06,281.84,34.06,56.07,11
6.38,4.05,34.05,5.65,7.93,2.59,0.58,0.21,281.84,34.06,56.07,12
0.85,0.73,38.6,1.18,1.43,1.64,0.3,0.1,800.13,46.43,1238.78,1
2.43,1.47,38.6,1.21,1.28,1.7,0.19,0.12,800.13,46.43,1238.78,2
3.71,2.22,38.6,2.4,3.58,3.02,0.4,0.13,800.13,46.43,1238.78,3
10.66,6.44,38.6,4.22,9.06,5.15,0.4,0.22,800.13,46.43,1238.78,4
17.94,9.32,38.6,6.03,9.62,2.89,0.6,0.28,800.13,46.43,1238.78,5
17.12,10.41,38.6,4.23,6.07,2.61,0.46,0.24,800.13,46.43,1238.78,6
17.21,8.29,38.6,3.83,5.94,4.21,0.39,0.17,800.13,46.43,1238.78,7
10.28,5.09,38.6,3.29,5.35,3.16,0.47,0.21,800.13,46.43,1238.78,8
3.81,2.64,38.6,3.56,6,3.54,0.46,0.13,800.13,46.43,1238.78,9
3.67,2.41,38.6,3.01,4.2,1.99,0.37,0.17,800.13,46.43,1238.78,10
1.87,1.32,38.6,1.54,2.07,2.65,0.45,0.12,800.13,46.43,1238.78,11
0.86,0.65,38.6,0.84,0.99,3.42,0.18,0.11,800.13,46.43,1238.78,12
3.43,2.21,62.07,5.19,8.79,2.65,0.44,0.08,401.72,37.65,908.58,1
6.54,3.6,62.07,5.25,6.72,1.81,0.42,0.1,401.72,37.65,908.58,2
8.31,4.92,62.07,6.55,10.87,2.89,0.47,0.11,401.72,37.65,908.58,3
13.58,8.08,62.07,7.82,9.91,2.06,0.45,0.14,401.72,37.65,908.58,4
20.98,11.4,62.07,6.71,10.18,2.77,0.49,0.16,401.72,37.65,908.58,5
31.7,14.73,62.07,12.5,12.13,1.15,0.52,0.14,401.72,37.65,908.58,6
24.97,10.68,62.07,10.34,13.46,2.28,0.54,0.13,401.72,37.65,908.58,7
26.1,15.22,62.07,13.01,16.66,1.91,0.53,0.16,401.72,37.65,908.58,8
14.22,8.2,62.07,8.21,18.2,5.77,0.46,0.13,401.72,37.65,908.58,9
18.36,11.27,62.07,8.2,11.39,2.21,0.51,0.12,401.72,37.65,908.58,10
4.21,2.25,62.07,3.45,4,1.72,0.42,0.07,401.72,37.65,908.58,11
3.28,1.94,62.07,3.28,5.36,3.09,0.42,0.09,401.72,37.65,908.58,12
11.38,6.93,34.76,5.37,7.09,1.89,0.58,0.12,7.61,33.22,4.32,1
11.1,6.32,34.76,5.21,8.68,2.96,0.54,0.22,7.61,33.22,4.32,2
7.47,4.75,34.76,2.79,5.58,3.67,0.33,0.16,7.61,33.22,4.32,3
5.76,3.19,34.76,3.46,5.48,2.31,0.26,0.11,7.61,33.22,4.32,4
5.97,2.64,34.76,3.83,6.58,2.42,0.35,0.07,7.61,33.22,4.32,5
0.61,0.21,34.76,0.47,0.37,2.01,0.08,0.04,7.61,33.22,4.32,6
1.72,0.73,34.76,2.21,2.73,0.88,0.33,0.02,7.61,33.22,4.32,7
1,0.28,34.76,0.85,0.73,1.38,0,0.02,7.61,33.22,4.32,8
7.95,2.39,34.76,3.5,8,2.41,0.31,0.04,7.61,33.22,4.32,9
10.35,3.96,34.76,2.96,7.54,4.31,0.39,0.12,7.61,33.22,4.32,10
7.45,4.04,34.76,4.08,8.42,4.69,0.35,0.17,7.61,33.22,4.32,11
10.46,6.81,34.76,6.94,11.25,2.67,0.53,0.19,7.61,33.22,4.32,12
13.81,9.86,83.36,5.98,9.78,4.28,0.5,0.32,188.59,46.87,139.34,1
10.3,8.1,83.36,5.49,11.14,6.16,0.47,0.33,188.59,46.87,139.34,2
37.53,20.56,83.36,7.76,30.15,11.65,0.49,0.27,188.59,46.87,139.34,3
6.18,4.5,83.36,5.13,6.43,2.05,0.56,0.3,188.59,46.87,139.34,4
11.8,6.42,83.36,5.95,6.59,1.78,0.57,0.32,188.59,46.87,139.34,5
23.89,12.13,83.36,7.5,9.48,2.22,0.55,0.32,188.59,46.87,139.34,6
27.75,16.42,83.36,6.84,10.48,2.85,0.52,0.43,188.59,46.87,139.34,7
19.54,10.57,83.36,5.64,7.43,2.15,0.47,0.34,188.59,46.87,139.34,8
16.07,9.09,83.36,7.12,9.24,2.11,0.44,0.28,188.59,46.87,139.34,9
16.76,8.69,83.36,7.82,10.87,2.67,0.55,0.31,188.59,46.87,139.34,10
6.45,4.54,83.36,6.14,8.4,2.85,0.51,0.32,188.59,46.87,139.34,11
16.3,11.02,83.36,8.01,16.96,6.85,0.57,0.38,188.59,46.87,139.34,12
4.79,2.76,33.19,5.34,8.25,2.87,0.23,0.06,905.48,31.92,650.42,1
3.6,1.56,33.19,1.74,2.15,1.67,0.14,0.04,905.48,31.92,650.42,2
10.33,4.89,33.19,4.8,5.54,1.74,0.38,0.07,905.48,31.92,650.42,3
10.74,4.6,33.19,4.74,7.39,2.51,0.3,0.1,905.48,31.92,650.42,4
26.6,10.37,33.19,7.93,14.59,3.21,0.37,0.1,905.48,31.92,650.42,5
17.71,10.03,33.19,6.66,9.21,2.41,0.38,0.13,905.48,31.92,650.42,6
17.31,9.79,33.19,7.16,8.73,1.7,0.46,0.15,905.48,31.92,650.42,7
24.61,11.87,33.19,7.38,10.57,3.12,0.45,0.11,905.48,31.92,650.42,8
24.49,12.42,33.19,7.21,9.69,2.25,0.4,0.13,905.48,31.92,650.42,9
14.13,8.29,33.19,6.17,9.28,2.99,0.47,0.11,905.48,31.92,650.42,10
8.8,2.7,33.19,8.16,8.14,0.99,0.43,0.04,905.48,31.92,650.42,11
5.69,2.63,33.19,6.07,9.81,2.59,0.28,0.04,905.48,31.92,650.42,12
0.83,0.57,53.48,1.06,0.84,0.76,0.23,0.09,263.62,45.06,1175.39,1
1.55,1.04,53.48,1.89,2.17,2.34,0.24,0.09,263.62,45.06,1175.39,2
5.91,3.67,53.48,3.55,4.91,2.27,0.37,0.18,263.62,45.06,1175.39,3
8.49,5.35,53.48,5.11,6.69,2.84,0.44,0.25,263.62,45.06,1175.39,4
22.63,11.01,53.48,6.22,9.4,3.07,0.45,0.24,263.62,45.06,1175.39,5
22.85,12.63,53.48,6.64,8.02,1.92,0.4,0.25,263.62,45.06,1175.39,6
33.22,17.6,53.48,8.26,12.6,2.64,0.3,0.25,263.62,45.06,1175.39,7
34.49,17.39,53.48,8.6,11.45,1.88,0.39,0.24,263.62,45.06,1175.39,8
23.75,12.7,53.48,7.12,10.35,2.87,0.32,0.21,263.62,45.06,1175.39,9
13.61,7.78,53.48,7.01,9.07,2.33,0.45,0.15,263.62,45.06,1175.39,10
5.04,3.14,53.48,3.93,5.69,2.27,0.4,0.11,263.62,45.06,1175.39,11
2.66,1.93,53.48,2.19,3.06,2.85,0.38,0.14,263.62,45.06,1175.39,12
26.84,15.31,82.9,10.3,14.24,1.83,0.4,0.21,11.86,30.2,41.19,1
26.46,13.72,82.9,6.48,8.87,1.85,0.3,0.27,11.86,30.2,41.19,2
24.24,12.52,82.9,7.37,11.07,2.44,0.39,0.22,11.86,30.2,41.19,3
27.46,15.02,82.9,9.79,14.58,1.8,0.38,0.23,11.86,30.2,41.19,4
44.33,26.24,82.9,12.68,23.36,3.88,0.57,0.19,11.86,30.2,41.19,5
25.78,14.33,82.9,9.7,13.19,2.11,0.59,0.17,11.86,30.2,41.19,6
